"QA3. Ensure that each response is assigned to the correct respondent, and is properly coded for relevancy, usefulness, and effort. ",,,,,,,,,,,,,,
,results,relevance,useful,effort,,"One issue discovered when coding responses: its very likely that ""when a data subject is notified"" is interpreted as ""in which cases or under what conditions is a data subject notified"". ",,,,,,,,
,,52 - 0's,54 - 0's,0 - 0's,,,,,,,,,,
,,29 - 1's,25 - 1's,53 - 1's,,,,,,,,,,
,,15 - 2's,16 - 2's,42 - 2's,,,,,,,,,,
,,4 - 3's,5 - 3's,5 - 3's,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TestStatus,R E S P O N S E    C O D I N G,,,,,R E D A C T E D    R E S P O N S E S,,,,,,,,
,Relevance Category,Relevance,Usefulness,Effort,,Final Coded Response,,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,Appropriate,1,2,3,,"In the event we determine a data breach has occurred, we would notify impacted individuals, business customers and state law enforcement officials per the 50+ state breach notification requirements. If EU citizens are impacted, we would also notify the relevant EU Data Protection regulators. With regard to the specific information about you in our [redacted] databases, it is first and last name, email address and phone number, found only in our sales lead database. That information came to us from [redacted], resulting from a [redacted] event in Seattle that we co-sponsored with them.   ",,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,AckReceipt,0,0,1,,I am going to check with a member of our team who works closely with the Trust and Safety Team to find out a little more about this issue. We'll get back to you soon. Thank you for your patience while I investigate.,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,Appropriate,2,2,1,,"On our website, we have privacy statements specific to different activities we engage with potential and current clients. For each of these activities, any cases where a data breach occurs, and said breach involves personal information that is likely to impact our client’s or potential client’s rights and freedoms, and/or is required by law, we will notify said individuals via email.",,,,,,,,
,Appropriate,1,1,1,,"As you may be aware, [redacted] is a data controller for the purposes of the EU General Data Protection Regulation (Regulation (EU) 2016/679) ('GDPR') and the UK Data Protection Act 2018 ('DPA'). Article 34 of the GDPR provides the circumstances under which data controllers are obliged to notify individuals, including in relation to the form, content and timeframe in relation to the same. In particular, according to Article 34(1) of the GDPR, when the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay. In addition, the European Data Protection Board ('EDPB'), an independent EU body, which contributes to the consistent application of data protection rules throughout the European Union, and promotes cooperation between the EU’s data protection authorities, has endorsed guidelines regarding breach notification, previously adopted by the Article 29 Working Party. Moreover, the UK's data protection authority, the Information Commissioner's Office ('ICO') has also released guidelines regarding the matter. [redacted] is committed to the protection of individuals’ personal data and regularly monitors its internal policies and procedures for compliance with the GDPR and the DPA, as well as the guidelines issued by the EDPB, the ICO and other relevant bodies.",,,,,,,,
,Appropriate,2,2,2,,"In the event of an all-encompassing Data Breach, [redacted] is in full compliance with federal reporting regulations and expectations. Should an all-encompassing Data Breach ever occur, all pertinent information regarding this matter will be made readily available through accessible communication channels.",,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,Appropriate,1,0,2,,I have not had a data breach.  Please let me know your reason for asking.,,,,,,,,
,Appropriate,1,1,2,,"If there were to be a data breach, you will be notified of a data breach in accordance with applicable law, which would depend on the circumstances of the breach.",,,,,,,,
,Ticket,0,0,1,,Please click below to read about our privacy policy: https://s3.amazonaws.com/[redacted]/privacy-policy.pdf,,,,,,,,
,Appropriate,2,2,1,,"We have a defined breach response process and if we identify your data
as a part of breach (should a breach occur) then we will notify you
via email.",,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,Appropriate,2,2,1,,"[redacted] has a detailed breach response policy that our customers can review under NDA. [redacted] follows the ISO-27001/27018 framework for Information Security, including an ISO-27001/27018 compliant Incident Response Policy. Affected customers are alerted within 24 hours of discovery through [redacted] Support, Customer Success, or Account Management Teams. [redacted] treats security incidents as critical support issues with most initial contacts occurring within 4 hours of discovery.",,,,,,,,
,Ticket,0,0,2,,Your request has been received and is being reviewed by our support staff.,,,,,,,,
,Appropriate,2,2,1,,"The GDPR mandates that, data controllers and data processors must report a data breach to the competent supervisory authority within 72 hours of its discovery. In addition, if a personal data breach “is likely to result in a high risk to the rights and freedoms of individuals,” the organization must notify those individuals “without undue delay"".
We comply with regulation.",,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,Questions,0,0,2,,We would be happy to answer your questions about our privacy policy. How can we help?,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,Appropriate,1,1,2,,"[redacted] complies with applicable data breach notification laws and in the event of a data breach that affects you, notice will be provided according to the requirements of the law in the state where you live.",,,,,,,,
,Appropriate,3,3,1,,[redacted] notifies customers of security breaches of their data as soon as reasonably feasible by email. We also communicate incidents via our status page. You can subscribe to be notified of updates at https://status-page.[redacted]/. ,,,,,,,,
,Ticket,2,2,1,,"The [redacted] platform is designed to never maintain any PII and retain no unencrypted content. Therefore, any security incident will not compromise our users’ personal data and communications. Outside of the platform, if we maintain your PII and a breach occurs wherein your PII is compromised (for example, the email address you are using to contact the support portal), we will attempt to notify you as soon as possible following the discovery of an incident, using the PII we maintain, to ensure you are aware of such incident.",,,,,,,,
,Appropriate,2,2,1,,"We will notify people individually where possible, and on our web site. We delete email privacy inquiries from consumers after responding.",,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,Appropriate,3,3,2,,"For information covered by the GDPR, we would follow the GDPR’s notification provision, which has a 72 hour time frame. For other PII breaches, we would also aim for a prompt disclosure, endeavoring to match that standard. Notifications would go to the effected people using the contact information we have. ",,,,,,,,
,Appropriate,1,1,1,,[redacted] notifies customers per our Security Incident Management Procedure in the event of any pertinent incident.  Scope of communications is limited to appropriate customer contacts.,,,,,,,,
,Appropriate,2,1,2,,Federal and state laws govern how and when to communicate to consumers in the event of a data breach. [redacted] will comply with all applicable laws in the case of a data breach.,,,,,,,,
,Appropriate,2,3,2,,"If we learn of a security system’s breach, we may attempt to notify you electronically by posting a notice on the Site or sending an e-mail to you. You may have a legal right to receive this notice in writing.' All decisions on such notifications are based on applicable privacy laws.",,,,,,,,
,Ticket,0,0,3,,"Could you please let me know exactly your concerns are with our privacy policy? I would be glad to get this connected with the correct team to help with any questions you may have. I am also having a hard time finding your account in our systems, are you currently a user on the site and if so what is the name of the store you are working for so I may find your account. ",,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,DNR,0,0,1,,,,,,,,,,
,Appropriate,1,1,1,,"Using the following information you provided, [redacted] did not locate any information within our environment.  In thet event that you were in our database and a breach occurred where your contact details were included in the data breach, [redacted] would comply with all applicable laws related to data breach notifications.",,,,,,,,
,AckReceipt,0,0,2,,"I'm connecting you with my colleague [redacted], who can respond to your query. He is abroad on [redacted] business but will reply as soon as he's able to do so.",,,,,,,,
,Questions,1,0,2,,Please let us know what your specific concern in regards to a data breach? ,,,,,,,,
,Ticket,1,1,2,,We appreciate your concern.  Here is a link to California law regarding notification for any data breach. https://oag.ca.gov/privacy/databreach/reporting,,,,,,,,
,Appropriate,2,1,2,," In the event your data is subject to a data breach, [redacted] will notify you in accordance with the timelines set out under HIPAA.   Here is a link to more information on the HHS website on timing for breach notification under HIPAA: https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html",,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
,Undeliverable,0,0,1,,,,,,,,,,
